City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,lazaro cardenas,17.9583,-102.2,82.06,81,76,1.77,MX,1697152081
292,suonenjoki,62.6167,27.1333,39.2,77,100,17.27,FI,1697152081
293,dondo,-19.6094,34.7431,71.47,93,59,2.73,MZ,1697152082
294,piacabucu,-10.4056,-36.4344,77.0,83,0,12.86,BR,1697152082
295,floro,61.5996,5.0328,48.16,76,100,24.16,NO,1697152083
296,vylkove,45.4021,29.586,58.05,80,7,11.36,UA,1697152083
297,esmeraldas,-19.7625,-44.3139,85.24,48,86,2.57,BR,1697151856
298,leava,-14.3,-178.1667,76.5,94,100,20.07,WF,1697152084
299,temascalapa,19.8333,-98.9,73.96,39,60,9.1,MX,1697152084
300,magadan,59.5667,150.8,23.83,74,11,8.99,RU,1697152085
301,plastun,44.7561,136.2939,53.1,68,0,5.99,RU,1697152085
302,bandar-e genaveh,29.5791,50.517,85.05,56,0,1.9,IR,1697152086
303,berbera,10.4396,45.0143,84.15,78,75,7.47,SO,1697152086
304,yamada,39.4667,141.95,60.49,62,2,4.0,JP,1697152087
305,khandyga,62.6667,135.6,28.6,97,100,1.86,RU,1697152087
306,port blair,11.6667,92.75,79.63,80,77,0.78,IN,1697152088
307,port saint john's,-31.6229,29.5448,62.19,79,27,4.85,ZA,1697152088
308,aldan,58.6031,125.3894,50.2,62,95,15.99,RU,1697152089
309,hun,29.1268,15.9477,70.79,55,15,7.25,LY,1697152090
310,odda,60.0691,6.5457,51.76,98,100,8.19,NO,1697152091
311,melfort,52.8667,-104.6177,50.4,59,91,9.48,CA,1697152091
312,tir pul,34.5943,61.269,51.28,70,83,29.68,AF,1697152091
313,tieli,46.95,128.05,48.36,73,0,4.97,CN,1697151924
314,nema,57.5067,50.5011,45.3,92,100,15.97,RU,1697152092
315,vila franca do campo,37.7167,-25.4333,68.41,99,40,6.4,PT,1697152093
316,amos,48.5669,-78.1162,43.63,95,98,6.4,CA,1697152093
317,shinkafi,13.0753,6.5105,85.53,24,7,8.7,NG,1697152093
318,bandon,51.7469,-8.7425,56.79,99,100,9.13,IE,1697152094
319,wilhelmsburg,48.1057,15.6054,63.84,99,100,4.59,AT,1697152094
320,penon blanco,24.7897,-104.0369,80.83,29,0,10.07,MX,1697152095
321,sierra grande,-41.606,-65.3557,49.42,61,39,16.13,AR,1697152095
322,gbarnga,6.9956,-9.4722,71.58,99,33,2.01,LR,1697152095
323,kununurra,-15.7667,128.7333,82.38,61,97,8.05,AU,1697151937
324,high rock,26.6208,-78.2833,84.22,84,100,19.86,BS,1697152096
325,puerto baquerizo moreno,-0.9,-89.6,75.16,81,33,10.56,EC,1697152097
326,dwarka,22.2394,68.9678,79.88,75,3,5.57,IN,1697152097
327,san carlos de bariloche,-41.1456,-71.3082,46.22,76,35,4.41,AR,1697152097
328,sabang,5.8933,95.3214,81.36,76,100,4.29,ID,1697152098
329,ikwiriri,-7.9562,38.9716,70.18,96,86,0.51,TZ,1697152098
330,papao,-17.75,-149.55,83.88,78,18,13.91,PF,1697152099
331,inirida,3.8653,-67.9239,81.07,77,85,2.3,CO,1697152099
332,mont-tremblant,46.1949,-74.6264,47.59,76,79,1.14,CA,1697151975
333,suva,-18.1416,178.4415,78.28,69,75,11.5,FJ,1697151976
334,miri,4.4148,114.0089,76.87,92,76,3.94,MY,1697152100
335,sihanoukville,10.6093,103.5296,81.46,79,100,5.82,KH,1697152036
336,adre,13.4667,22.2,79.99,25,99,10.29,TD,1697152101
337,villa dolores,-31.9459,-65.1896,62.67,30,1,1.86,AR,1697152101
338,caleta de carquin,-11.0925,-77.6267,66.87,81,80,11.23,PE,1697152102
339,rongelap,11.1635,166.8941,82.6,77,58,9.4,MH,1697152102
340,porto murtinho,-21.6989,-57.8825,68.2,65,100,8.08,BR,1697151903
341,hopelchen,19.7667,-89.85,87.33,67,96,4.7,MX,1697152103
342,kilindoni,-7.9139,39.6668,77.72,80,71,10.42,TZ,1697152103
343,culebra,18.303,-65.301,86.14,94,38,5.01,PR,1697152104
344,fazilka,30.4,74.0333,73.02,31,0,5.95,IN,1697151983
345,sibolga,1.7427,98.7792,75.74,91,69,2.1,ID,1697152105
346,hefei,31.8639,117.2808,65.35,75,98,2.66,CN,1697152105
347,priargunsk,50.3691,119.1012,42.78,56,8,8.03,RU,1697152105
348,kalmunai,7.4167,81.8167,75.88,93,100,3.83,LK,1697152106
349,lebu,-37.6167,-73.65,49.87,81,0,21.54,CL,1697151823
350,kone,-21.0595,164.8658,76.84,61,44,4.45,NC,1697152107
351,kerikeri,-35.2268,173.9474,65.91,70,38,3.69,NZ,1697152107
352,madang,-5.2246,145.7966,82.85,71,83,1.3,PG,1697152108
353,tolanaro,-25.0319,46.9987,69.73,91,100,12.88,MG,1697152108
354,sona,45.4388,10.8255,67.55,83,40,4.61,IT,1697152109
355,lorengau,-2.0226,147.2712,83.75,73,29,3.6,PG,1697152109
356,afaahiti,-17.75,-149.2833,82.27,78,33,12.86,PF,1697152109
357,bandarbeyla,9.4942,50.8122,78.6,87,5,3.29,SO,1697151837
358,veraval,20.9,70.3667,79.41,80,3,8.79,IN,1697152110
359,portland,45.5234,-122.6762,73.0,57,20,8.05,US,1697151492
360,clearwater,27.9659,-82.8001,83.21,85,100,14.0,US,1697151934
361,taunsa,30.7048,70.6505,76.75,21,0,4.74,PK,1697152112
362,mejit,10.2753,170.8646,82.29,78,34,9.82,MH,1697152112
363,nova sintra,14.8667,-24.7167,76.03,76,99,3.89,CV,1697152113
